Сайт;Файл;H1;Title;Description
abac-kompressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция ABAC;Модульная азотная станция ABAC: чистота азота до 99,999%;Блок-контейнер ABAC: компрессор, генератор Enger и контроль кислорода проверены на заводе. Чистота азота 95-99,999%, вход - при кислороде от 19,5%. Расчёт под площадку.
abac-kompressor.ru;azotnaya-stanciya.html;Азотная станция ABAC на раме;Азотная станция ABAC на одной раме: одна гарантия, монтаж за 1-2 дня;Компрессор ABAC, генератор Enger, ресивер и автоматика собраны на общей раме. Чистота азота 95-99,999% - адсорбция или мембрана. Одна гарантия, монтаж за 1-2 дня.
abac-kompressor.ru;filtry-magistralnye.html;Магистральные фильтры ABAC;Магистральные фильтры ABAC на 16 бар: 3 серии, класс 1-3;Три серии магистральных фильтров ABAC на 16 бар - SPINN, MICRON, GENESIS, 160 позиций. Класс очистки 1-3, остаточное масло 0,01-1 мг/м³. Подберём фильтр под станцию.
abac-kompressor.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция ABAC;Модульная кислородная станция ABAC в контейнере: работа до -30°C;Блок-контейнер ABAC с компрессором, генератором Enger и заправочной зоной обкатан на заводе. Чистота кислорода 90-95%, дожим до 200 бар, работа при морозе до -30°C.
abac-kompressor.ru;kislorodnaya-stanciya.html;Кислородная станция ABAC на раме;Кислородная станция ABAC: чистота 93-95% для сварки и баллонов;Компрессор ABAC, генератор кислорода и ресивер на общей раме - для сварки, аэрации воды и заправки баллонов. Чистота 93-95%, дожим до 150-200 бар. Подбор под ваш расход.
abac-kompressor.ru;kompressornaya-stanciya.html;Компрессорная станция ABAC;Компрессорная станция ABAC под реальный расход вашего цеха;Компрессор, ресивер, осушитель и фильтры ABAC подбираются под фактический расход без лишнего запаса. В каталоге 64% позиций с ресивером, 43% - с осушителем с завода.
abac-kompressor.ru;mks.html;Модульная компрессорная станция ABAC;Модульная компрессорная станция ABAC: контейнер под ключ;Блок-контейнер ABAC с утеплением, вентиляцией, отоплением и пожарной автоматикой смонтирован на заводе. Пусконаладка за 1-2 дня, гарантия 12 месяцев на весь модуль.
abac-kompressor.ru;osushiteli.html;Осушители сжатого воздуха ABAC;Осушители ABAC трёх серий: точка росы до +3°C под давлением;Осушители ABAC серий SPINN, MICRON, GENESIS - 17 позиций, производительность 0,85-25 м³/мин, давление 13-16 бар. Экономия энергии до 20-30%. Подбор под компрессор.
abac-kompressor.ru;tsiklonnye-separatory.html;Циклонные сепараторы ABAC;Циклонные сепараторы ABAC: 19 позиций на давление 16 бар;Три линейки циклонных сепараторов ABAC - SPINN, MICRON, GENESIS, производительность 2100-141600 л/мин. Первая ступень очистки от влаги, ресурс корпуса 10-20 лет.
abac-kompressor.ru;vintovye-kompressory.html;Винтовые компрессоры ABAC;Винтовые компрессоры ABAC: 420 позиций от 2,2 до 75 кВт;Каталог винтовых компрессоров ABAC: 2,2-75 кВт, производительность 220-12400 л/мин, давление 7,5-13 бар. 271 модель с ресивером, 30 - с частотным приводом.
ac-kompressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Atlas Copco;Модульная азотная станция Atlas Copco в контейнере под ключ;Азотная станция Atlas Copco в блок-контейнере: расчёт производительности, обогрев контура, датчики кислорода, резервирование компрессора. Пришлите расход и чистоту.
ac-kompressor.ru;azotnaya-stanciya.html;Азотная станция Atlas Copco;Азотная станция на компрессоре Atlas Copco: чистота до 99,999%;Азотная станция на базе компрессора Atlas Copco: генератор PSA, чистота азота до 99,999%, расчёт под ваш расход и давление. Подберём генератор и компрессор в пару.
ac-kompressor.ru;dizelnye-kompressory.html;Дизельные компрессоры Atlas Copco;Дизельные компрессоры Atlas Copco: автономно, без электросети;58 позиций дизельных компрессоров Atlas Copco мощностью 14,9-478 кВт, производительность 1,9-63,5 м³/мин, давление 7-35 бар. Автономная работа без сети или в резерв.
ac-kompressor.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Atlas Copco;Модульная кислородная станция Atlas Copco в контейнере под ключ;Кислородная станция Atlas Copco в блок-контейнере: компрессор до 500 кВт, чистота 93-95%, проект размещения, удалённый мониторинг. Расчёт по параметрам газа.
ac-kompressor.ru;kislorodnaya-stanciya.html;Кислородная станция Atlas Copco;Кислородная станция Atlas Copco: чистота 93-95%, заправка баллонов;Кислородная станция на компрессоре Atlas Copco: генератор 20-1670 Нм³/ч, чистота 93-95%, дожим до 150 бар для заправки баллонов. Расчёт под ваш расход.
ac-kompressor.ru;kompressornaya-stanciya.html;Компрессорная станция Atlas Copco под ключ;Компрессорная станция Atlas Copco под ключ: подбор, монтаж, сервис;Соберём компрессорную станцию Atlas Copco под непрерывное производство: подбор компрессора 2-500 кВт, ресивер, узел подготовки воздуха, резервирование линий.
ac-kompressor.ru;kompressornye-stantsii.html;Компрессорные станции Atlas Copco;Компрессорные станции Atlas Copco: расчёт под расход за 1 час;Подберём компрессорную станцию Atlas Copco под фактический расход и давление: компрессор 2-500 кВт, ресивер, осушитель, резервирование. Расчёт и КП за час.
ac-kompressor.ru;mks.html;Модульная компрессорная станция Atlas Copco;Модульная компрессорная станция Atlas Copco: МКС в контейнере под ключ;МКС Atlas Copco под ключ: компрессор 2-500 кВт, давление до 25 бар, утеплённый контейнер с вентиляцией и отоплением. Проработаем размещение на площадке.
ac-kompressor.ru;osushiteli.html;Осушители воздуха Atlas Copco;Осушители Atlas Copco: 174 позиции от 240 до 59520 л/мин;Осушители Atlas Copco под компрессоры 2-315 кВт, давление 7-20 бар. 19 моделей с частотным приводом, 27 станций со встроенным осушителем для экономии места.
ac-kompressor.ru;porshnevye-kompressory.html;Поршневые компрессоры Atlas Copco;Поршневые компрессоры Atlas Copco: 16 из 17 - без масла;17 позиций поршневых компрессоров Atlas Copco мощностью 1,5-15 кВт, производительность 186-1860 л/мин при 10 бар. 9 моделей со встроенным осушителем, точка росы до +3°C.
ac-kompressor.ru;spiralnye-kompressory.html;Спиральные компрессоры Atlas Copco;Спиральные компрессоры Atlas Copco для круглосуточной работы;35 позиций спиральных компрессоров Atlas Copco: 1,5-22 кВт, давление 8-10 бар, производительность 130-2440 л/мин. Прямой или ременный привод для непрерывной работы.
ac-kompressor.ru;vintovye-kompressory.html;Винтовые компрессоры Atlas Copco;Винтовые компрессоры Atlas Copco: 681 позиция, до 25 бар;Винтовые компрессоры Atlas Copco мощностью 2-500 кВт, производительность 240-84600 л/мин, давление до 25 бар. 87 моделей с частотным приводом, есть безмасляные серии.
berg-kompressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция BERG;Модульная азотная станция BERG: контейнер, чистота азота до 99,999%;Модульная азотная станция BERG в блок-контейнере: компрессор 4-355 кВт, генератор Enger, чистота 95-99,999%, давление 8-10 бар. Решение для площадки без здания.
berg-kompressor.ru;azotnaya-stanciya.html;Азотная станция на базе BERG;Азотная станция на базе BERG: чистота до 99,999%, давление 5-8 бар;Азотная станция BERG: генератор Enger, ресивер. Чистота от 95% до 99,999%, производительность 30-20 000 л/мин, давление 5-8 бар, отдельные модели - до 12 бар.
berg-kompressor.ru;filtry-magistralnye.html;Магистральные фильтры BERG;Магистральные фильтры BERG: 142 позиции, подбор под компрессор;Магистральные фильтры BERG для очистки сжатого воздуха: удаляют частицы, масло, конденсат и запах. 142 позиции разных исполнений, под заказ - весь модельный ряд завода.
berg-kompressor.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция BERG;Модульная кислородная станция BERG: контейнер, чистота газа 93-95%;Модульная кислородная станция BERG в блок-контейнере: компрессор 4-355 кВт, генератор Enger 20-1670 л/мин, чистота до 93-95%. Расчёт под параметры газа и площадки.
berg-kompressor.ru;kislorodnaya-stanciya.html;Кислородная станция на компрессоре BERG;Кислородная станция BERG: заправка баллонов, дожимной компрессор;Кислородная станция BERG: компрессор 4-355 кВт, генератор Enger 20-1670 л/мин, чистота 93-95%. При необходимости - дожимной компрессор и рампа для заправки баллонов.
berg-kompressor.ru;kompressornaya-stanciya.html;Компрессорная станция BERG под ключ;Компрессорная станция BERG под ключ: подбор, монтаж и сервис;Компрессорная станция BERG: компрессор 4-355 кВт, ресивер, осушитель, фильтрация и автоматика. В каталоге 598 позиций, 203 с частотным приводом. Подбор под расход цеха.
