inn;predpriyatie;chem_derzhitsya;primer_citaty;pochemu
2457029066;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАН;вывод по роду деятельности;Приобретение воздушного турбокомпрессора в комплекте с электродвигателем;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";вывод по роду деятельности;Ремонтные работы СГУ, компрессора марки STC-SH_08-8B) поз. ЦК-1201 цеха №4,НПЗ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7730248021;"ООО ""ИСО""";вывод по роду деятельности;На оказание услуг по диагностике и ремонту Турбокомпрессора 2674A804 PERKINS (id852695);ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГО";вывод по роду деятельности;Оказание услуг по сервисному обслуживанию, диагностическому контролю и планово-предупредит;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7704758153;ГК ЛокоТех;вывод по роду деятельности;ОЗК на выполнение работ по ремонту турбокомпрессоров для нужд филиалов ООО «ЛокоТех-Сервис;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕР";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6330000553;"АО ""НК НПЗ""";не сказан;документации на техническое перевооружение опасного производственного объекта АО «НК НПЗ» ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4205003440;"АО ""КТК"" (ИНН 4205003440)";вывод по роду деятельности;№ 2023-01-120 Оказание услуг по ремонту турбокомпрессоров, ТНВД, топливных форсунок разрез;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7720613388;АО ЗТЗ;не сказан;Закупка шланга ПВХ армированного вакуумного разных диаметров для нужд АО ЗТЗ (id663402) (2;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";вывод по роду деятельности;Ремонт асинхронного электродвигателя типа 2АЗМ-1000/6000 УХЛ4 центробежного (воздушного) к;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6615001962;"АО ""ЕВРАЗ КГОК""";вывод по роду деятельности;Турбокомпрессор по ТЗ КГОК 2026;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7414003633;"ПАО ""ММК""";не сказан;влагоотделителей компрессоров типа К-1500-61-2, зав. № 2220 (ст. № 1), зав. № 1780 (ст. № ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7703370008;"ПАО ""МЕЧЕЛ""";вывод по роду деятельности;Поставка центробежной компрессорной установки 8 бар с устройством плавного пуска, в защитн;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";вывод по роду деятельности;Выполнение работ по проведению экспертизы промышленной безопасности, обследованию и оценке;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7714572888;АОСТНГ;вывод по роду деятельности;Поставка компрессоров К-20 для СЭМ-4 (производства Алтайлесмаш) (Этап 6.9.2 Лупинги 280/02;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5249105219;"АО ""КОРУНД-ЦИАН""";не сказан;Заключение экспертизы промышленной безопасности № 02/2021/21-ТУ-7 на техническое устройств;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";вывод по роду деятельности;"Малоходовые и неликвидные МПЗ - МПЗ, закупленные для нужд ЗФ ПАО ""ГМК ""Норильский никель"" ";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2902059091;"АО ""ПО ""СЕВМАШ""";вывод по роду деятельности;Капитальный ремонт участка ливневой канализации турбокомпрессорной №1 от колодца К2-946 до;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0268004714;"АО ""СНХЗ""";не сказан;здание, применяемое на опасном производственном объекте «Площадка производства изопреновог;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6320004728;"АО ""ТОАЗ""";не сказан;Центробежный компрессор технологического воздуха, тех.№ 402, зав.№ 6063, инв.№ 0052354, оп;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";не сказан;Технологическая система подачи барьерного воздуха в уплотнения нагнетателя ГПА ст. №2, инв;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";не сказан;Технические устройства - вентиляторы систем вентиляции блоков: маслоохладителей двигателя ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";вывод по роду деятельности;Выполнение проектно-изыскательских работ и осуществление полного авторского надзора по про;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";не сказан;установка газотурбинная ГТН-16М-1, зав.№ 25802 с центробежным нагнетателем 2Н-16-76-1,44М1;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";не сказан;Поставка компрессоров технического воздуха К-2410, включая шеф-монтажные и и пусконаладочн;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5321029508;"ПАО ""АКРОН""";не сказан;ЗАКЛЮЧЕНИЕ № 247 экспертизы промышленной безопасности технического устройства, применяемог;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5603045522;"ООО ""РН-БГПП""";не сказан;"Заключение экспертизы промышленной безопасности ""Дожимная компрессорная станция техническо";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6335007320;"АО ""ПРОМСИНТЕЗ""";не сказан;Техническое устройство, применяемое на опасном производственном объекте «Площадка регенера;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
