Модель;Slug;URL;Слов;SEO-вердикт/10;Естественность/10;Заземлённость/10;Прогноз ревьюера
Fable 5;hansmann;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/hansmann/;540;7;5;10;Пройдёт базовые фильтры и будет ранжироваться средне по среднечастотным запросам типа «компрессоры hansmann купить», но проиграет конкурентам с конкретными таблицами характеристик и живым языком в выд
Fable 5;kompressory-10-bar;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-10-bar/;669;6;5;8;Попадёт в топ-10 по низкочастотным запросам ('купить винтовой компрессор 10 бар Москва'), но не выстрелит в топ-3 из-за шаблонности, переоптимизации заголовков и недостатка уникальной экспертности (не
Fable 5;kompressory-1000-l-min;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-1000-l-min/;635;6;4;5;"Попадёт в индекс и займёт середину выдачи, но с высоким риском фильтров за ИИ-паттерны и переоптимизацию; в конкурентной нише проиграет текстам с живым языком и проверяемыми фактами"
Fable 5;remennyy;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/remennyy/;631;7;6;6;Будет ранжироваться удовлетворительно для среднечастотных запросов, но выдуманные факты создают риск санкций при усилении фактчекинга, а ИИ-почерк может снизить оценку полезного контента в алгоритмах 
Fable 5;rossiya;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rossiya/;609;7;6;8;Займёт позиции в топ-20 по низкочастотным запросам, но для топ-5 критично устранить дублирование ключа в H-структуре и добавить визуального дробления — поисковики 2025-2026 штрафуют за переоптимизацию
Sonnet 5;hansmann;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/hansmann/;625;8;6;10;"Текст заземлён фактами и хорошо структурирован, но заметные ИИ-паттерны в языке и отсутствие конкретных цен ослабят позиции в высококонкурентных коммерческих запросах; на mid-tail запросах сработает н"
Sonnet 5;kompressory-10-bar;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-10-bar/;588;6;5;5;Текст возьмёт средние позиции за счёт правильной структуры и фактуры по брендам, но просядет под конкурентами с честной экспертизой из-за ИИ-детекции и выдуманных фактов в последнем блоке
Sonnet 5;kompressory-1000-l-min;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/kompressory-1000-l-min/;528;6;5;5;Проиндексируется и займёт средние позиции, но в топ-5 не выйдет из-за ИИ-маркеров и фактических неточностей — Яндекс/Google 2025-2026 требуют проверяемой экспертности и живого языка для коммерческих с
Sonnet 5;remennyy;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/remennyy/;598;7;6;6;Текст ранжироваться будет благодаря структуре и экспертным данным, но выдуманные цифры и канцелярит ограничат рост в топ-3 конкурентной выдачи и создадут риск при ручных проверках качества Яндексом
Sonnet 5;rossiya;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/rossiya/;491;6;6;6;Пройдёт базовую проверку без санкций, но в конкурентной выдаче 2025-2026 проиграет экспертным текстам из-за ИИ-паттернов, фактических неточностей (900 позиций), поверхностного раскрытия двух из трёх з
