url;вердикт;приоритет;показы;клики;недобор_кликов;статья;соответствие;выбор;метатеги;достоверность;ссылки;каннибализация;критично;внимание;проверить;почему
/catalog/vozdushnye-kompressory/;НЕТ СТАТЬИ;0;3047;15;1;КРИТИЧНО;ОК;ОК;ВНИМАНИЕ;ВНИМАНИЕ;ОК;ВНИМАНИЕ;1;2;2;statya_est=false: на корневой категории всего направления текста нет, при этом страница уже собирает 873 запроса в Яндексе и 300 в Google.
/catalog/;НЕТ СТАТЬИ;0;414;14;0;ВНИМАНИЕ;ОК;ОК;КРИТИЧНО;ОК;ОК;ВНИМАНИЕ;1;2;1;"statya_est=false; при этом это не товарная категория, а корень каталога, и почти весь её спрос - навигационно-брендовый, который лучше отрабатывает главная."
/catalog/vozdushnye-kompressory/po-tipu/vintovye/;ПРАВКА;1;15599;20;74;ОК;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;0;6;3;Статья по теме и без подтверждённого вранья, но список брендов расходится с фасетами раздела, главный яндексовый интент 'компрессорная установка' не закрыт ни одним словом, и при позициях 6-9 в Google
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/;ПРАВКА;1;11176;14;109;ОК;КРИТИЧНО;ОК;ВНИМАНИЕ;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;2;4;2;Методика подбора здесь лучшая в батче, но блок брендов описывает не тот раздел: пропущены два крупнейших бренда, ведущим сделан двенадцатый по величине, диапазон Atlas Copco расходится с базой фактов,
/catalog/vozdushnye-kompressory/atlas-copco/;ПРАВКА;1;5282;21;85;ОК;ВНИМАНИЕ;ОК;ВНИМАНИЕ;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;2;4;4;Скелет статьи верный и подбор сильный, но первый же абзац склеивает характеристики электрических и дизельных машин и завышает производительность в 16 раз, а цена в блоке поставки выходит за tsena_max 
/catalog/vozdushnye-kompressory/kompressory-bezmaslyanye/;ПЕРЕГЕНЕРАЦИЯ;1;4557;4;37;КРИТИЧНО;КРИТИЧНО;КРИТИЧНО;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;КРИТИЧНО;3;2;2;714 знаков, один h2, нет ни подбора, ни брендов, ни FAQ, заголовок сужает раздел до винтовых, тогда как основа ассортимента - спиральные: это заготовка, а не статья, при том что страница уже стоит в т
/catalog/vozdushnye-kompressory/remeza/;ПЕРЕГЕНЕРАЦИЯ;1;3837;3;27;ОК;КРИТИЧНО;ВНИМАНИЕ;КРИТИЧНО;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;2;5;1;Ключевая характеристика флагманской серии противоречит базе фактов на порядок с обеих сторон (0,75-315 кВт против подтверждённых 4-37), а брендовая страница написана только про винтовые, тогда как вес
/catalog/resivery/;ПРАВКА;1;3134;21;11;ОК;ВНИМАНИЕ;КРИТИЧНО;ВНИМАНИЕ;КРИТИЧНО;ОК;ВНИМАНИЕ;1;5;1;Статья по теме, структурная и с правильной перелинковкой, но главное правило подбора расходится со справкой категории в пятьдесят раз, а description обещает объёмы и давление, которых в разделе, судя 
/catalog/vozdushnye-kompressory/airman/;ПЕРЕГЕНЕРАЦИЯ;1;3051;2;51;ОК;КРИТИЧНО;ВНИМАНИЕ;КРИТИЧНО;КРИТИЧНО;ВНИМАНИЕ;ОК;3;1;4;Опорная характеристика бренда склеена из двух источников (216 кВт при производительности до 1,9 м3/мин и при tsena_max 1,52 млн ₽), причём тот же диапазон 3,7-216 кВт стоит абзацем ниже у чужого бренд
/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/;ПРАВКА;1;2725;6;22;ОК;КРИТИЧНО;ОК;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;2;3;4;Тема статьи разделу соответствует, но перечень брендов не отражает состав раздела (назван Cross Air с 231 позицией, не назван DALGAKIRAN с 1119) и первая же фраза отсекает однофазный сегмент, который 
/catalog/osushiteli/;ПРАВКА;1;2496;40;0;ОК;ВНИМАНИЕ;ОК;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;0;5;4;Статья инженерно крепкая и почти вся сходится со справкой категории, но внутри неё расходятся условия подбора (+25 против +35 °C на входе), не закрыты два денежных интента (высокое давление и осушител
/catalog/vozdushnye-kompressory/po-tipu/vysokogo-davleniya/;ПЕРЕГЕНЕРАЦИЯ;1;2412;32;9;ОК;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;4;4;2;"Статья объявляет весь раздел винтовым, хотя по фасетам винтовых 119 из 260, а поршневых 95; заявленный диапазон 20-40 бар опровергается её же брендовым списком с 60 бар; ведущее место в списке брендов"
/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-tsekha/;ПЕРЕГЕНЕРАЦИЯ;1;1594;1;5;КРИТИЧНО;КРИТИЧНО;КРИТИЧНО;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;КРИТИЧНО;2;2;2;Статья чужая (statya_tip=legacy), 921 знак на раздел в 610 страниц пагинации, два подзаголовка обрываются двоеточием без содержимого, а единственная развёрнутая рекомендация уводит на центробежные маш
/catalog/osushiteli/adsorbtsionnye/;ПРАВКА;1;1529;1;11;ОК;КРИТИЧНО;ОК;КРИТИЧНО;ВНИМАНИЕ;ОК;ВНИМАНИЕ;2;2;4;Инженерная часть почти дословно сходится со справкой категории, но перечень брендов собран по примерам моделей, а не по фасетам (назван COMARO с 20 позициями, пропущены KRAFTMACHINE со 131 и Pneumatec
/catalog/vozdushnye-kompressory/kompressory-5000-l-min/;ПРАВКА;1;1298;5;8;ОК;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;ВНИМАНИЕ;0;7;1;Статья по теме и с сильным подбором, но два соседних абзаца дают разное число обслуживаемых постов, диапазон мощности опровергается моделью из того же досье, а мета не ловит мощностный кластер, по кот
/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye/atlas-copco/;ПРАВКА;1;1296;2;21;ОК;ОК;ОК;КРИТИЧНО;КРИТИЧНО;ВНИМАНИЕ;ВНИМАНИЕ;1;3;4;Единственная брендовая страница батча, где диапазоны взяты из fakty_brenda один в один, но в блок поставки вставлен кейс электрической машины GA18 VSD+, а при 400 показах в топ-3,5 страница даёт ноль 
