Приоритет;Кластер;Тема;Запрос;Интент;Фактура твёрдая;Канон;Разделы каталога;Чем выгрызем;Статус
1;Выбор и эксплуатация оборудования;Как рассчитать окупаемость фотосепаратора: формула и примеры;окупаемость фотосепаратора;коммерческий;да;Методика расчёта: (стоимость оборудования + затраты на внедрение) / (экономия на брак + выручка от спасённого продукта - эксплуатационные расходы). Примеры для пшеницы, гречки, кофе с реальными цифрами по классности и потерям;/catalog/grechka/ /catalog/kofe/ /catalog/pshenitsa/;Конкретная формула с переменными под каждую культуру, а не общие слова про 'быструю окупаемость'. Таблица: сколько сэкономит переработчик тонны на сортировке от 1 до 3 класса;
1;Выбор и эксплуатация оборудования;Производительность фотосепаратора: от чего зависит и как выбрать;производительность фотосепаратора;коммерческий;да;Паспортные характеристики моделей MEYER (т/ч для разных культур): 120M, CG-A, CG-P, CG-S, XM. Факторы снижения производительности: влажность >14%, засорённость >10%, размер фракции, настройки чувствительности;/catalog/grechka/ /catalog/pshenitsa/ /catalog/semena-podsolnechnika/;Не абстракция, а таблица производительности конкретных моделей по культурам + чек-лист факторов, которые режут скорость на 20-40%;
1;Выбор и эксплуатация оборудования;Как подобрать фотосепаратор под линию: мощность, габариты, интеграция;как выбрать фотосепаратор;коммерческий;да;Алгоритм подбора: 1) требуемая производительность линии (т/ч), 2) тип культуры и фракция, 3) задача (удаление примесей / сортировка по качеству), 4) габариты помещения и высота падения, 5) наличие предварительной очистки. Матрица выбора модели;/catalog/gorokh/ /catalog/grechka/ /catalog/pshenitsa/ /catalog/ris/;Пошаговый опросник с ветвлением, который приводит к конкретной модели, а не рекламный буклет с общими фразами;
1;Выбор и эксплуатация оборудования;Типичные ошибки при внедрении фотосепаратора и как их избежать;ошибки внедрения фотосепаратора;информационный;да;5 критичных ошибок: 1) нет предочистки (машина забивается), 2) неправильная высота падения (снижение точности на 15-30%), 3) плохое освещение помещения (ложные срабатывания), 4) отсутствие обучения оператора (неоптимальные настройки), 5) игнорирование калибровки (дрейф точности);/catalog/grechka/ /catalog/pshenitsa/ /catalog/ris/;Кейсы с цифрами потерь: что происходит, если запустить без предочистки или в пыльном помещении. Не общие советы, а измеримые последствия;
1;Выбор и эксплуатация оборудования;Как фотосепаратор снижает микотоксины в зерне: механизм и эффективность;фотосепаратор микотоксины;нормативный;да;Фотосепаратор удаляет поражённые зёрна (фузариоз, плесень) по цвету и флуоресценции, снижая концентрацию микотоксинов на 40-70%. Не заменяет лабораторный контроль по ГОСТ 31653-2012 (ДОН), но минимизирует риск превышения ПДК (1 мг/кг для зерна);/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;Связка с нормативами по микотоксинам + цифры эффективности: насколько падает ДОН после фотосепарации. Сейчас пишут 'удаляет больные зёрна', но не связывают с токсинами;
1;Выбор и эксплуатация оборудования;ROI фотосепаратора в переработке кофе: расчёт для обжарщика;фотосепаратор для кофе окупаемость;коммерческий;да;Расчёт для кофе: удаление квакера (недозрелых зёрен) и дефектов повышает качество на 1-2 класса (specialty vs commercial), разница в цене 200-500 руб/кг. При обжарке 500 кг/мес экономия 100-250 тыс руб/год. Окупаемость: 12-24 месяца;/catalog/kofe/;Расчёт специально для кофейного рынка с ценами specialty-сегмента. Обжарщики ищут эту информацию, но находят только про зерно;
1;Зерновые, зернобобовые, масличные;Спорынья в пшенице и ржи: нормы содержания и методы удаления;спорынья в зерне норма;нормативный;сверить;уточнить: ТР ТС 015/2011 и ГОСТ на методы определения спорыньи в зерне злаковых;/catalog/pshenitsa/ /catalog/rozh/;Точные пороговые значения для разных классов зерна, связь с оборудованием для удаления склероциев;
1;Зерновые, зернобобовые, масличные;Клоп вредная черепашка: как определить поврежденное зерно пшеницы;клоп вредная черепашка зерно;нормативный;сверить;уточнить: ГОСТ на определение зерна, поврежденного вредителями, процент допустимости по классам;/catalog/pshenitsa/ /catalog/yachmen/;Визуальные признаки повреждения, влияние на клейковину, нормы по классам с привязкой к методам сепарации;
1;Зерновые, зернобобовые, масличные;Фузариоз зерна пшеницы: нормы микотоксинов и методы контроля;фузариоз зерна норма дон;нормативный;сверить;уточнить: ТР ТС 021/2011 по микотоксинам ДОН, зеараленон, пороговые значения мг/кг;/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;Конкретные нормы ДОН для разных продуктов, связь визуальных признаков с токсичностью, роль оптической сортировки;
1;Зерновые, зернобобовые, масличные;Проросшее зерно пшеницы: нормы содержания по классам и ГОСТ;проросшее зерно пшеницы норма;нормативный;сверить;уточнить: ГОСТ 9353 или актуальный стандарт на пшеницу, процент для классов 1-5;/catalog/pshenitsa/;Точная таблица норм по классам, влияние на хлебопечение, возможности оптической сепарации по цвету ростка;
1;Зерновые, зернобобовые, масличные;Долгоносик в зерне при хранении: признаки заражения и нормы;долгоносик в зерне;нормативный;сверить;уточнить: ГОСТ на зерно, категория зараженности вредителями, допустимость в партиях для разных целей;/catalog/grechka/ /catalog/pshenitsa/ /catalog/ris/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;Виды долгоносиков, скрытая и явная зараженность, нормы по степеням, возможности рентген-инспекции для обнаружения;
1;Зерновые, зернобобовые, масличные;Минеральная примесь в зерне: что входит и какие нормы по ГОСТ;минеральная примесь в зерне;нормативный;сверить;уточнить: ГОСТ на зерно, определение минеральной примеси (галька, песок, шлак), допустимые проценты;/catalog/grechka/ /catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;Четкое определение категории, нормы для разных культур, методы удаления камнеотборниками и рентген-инспекцией;
1;Непищевые направления;Классификация пластика по типам: как отличить PE, PP, PET, PVC и PS;классификация пластика по типам;информационный;сверить;уточнить: ГОСТ 32622 (возможно, серия 32622-2014) или международная маркировка RIC 1-7. Нужен документ с точными кодами идентификации пластмасс;/catalog/plastik/;таблица с признаками для визуального различения + какие типы пластика поддаются оптической сортировке фотосепаратором, какие требуют рентген-инспекции;
1;Непищевые направления;ПЭТ-хлопья: требования к чистоте вторичного сырья для переработки;пэт хлопья требования качество;нормативный;сверить;уточнить: ТУ или отраслевой стандарт для флекса ПЭТ. Критерии: доля примесей PVC, PE, этикетки, цветность, влажность;/catalog/plastik/ /catalog/plastikovaya-tara/;конкретные пороги по примесям (%) + какая модель машины какой параметр контролирует (цвет — фотосепаратор, металл — рентген);
